id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
ID,Name,Key,ChipNum,"Type",UnlockWay,TypeDesc,Desc,GetWay,StackMax
0,空气,Air,,"1",,100016,你看不见我,,64
1,地心基石,UltraStone,,"1",,100016,位于最深的地心，超级坚硬，无法撼动,,64
2,功能方块,FunctionBlock,,"1",,,神奇方块，威力不明,,64
3,静态水,StaticWater,,"1",,,静止的水方块,,64
4,动态水,Water,,"1",,,可流动的水,,64
5,静态岩浆,StaticLava,,"1",,,静止的岩浆方块，小心这很烫！,,64
6,动态岩浆,Lava,,"1",,,可流动的岩浆方块，小心这很烫，会受伤！,,64
7,传送光效,TeleportEffect,,"1",,,似乎是个魔法方块,,64
8,雕纹砖块,EngravingBlock,,"1",,100018,布满浮雕的建筑方块，质地坚硬,,64
9,加速移动方块,SpeedUpBlock,,"1",,100018,穿过此方块的人会受到一股莫名的推力,,64
10,星能块,StarenergyBlock,,"1",,,放置后可以持续输出#c0aba1d星能信号#n,,64
11,静态蜂蜜,StaticHoney,,"1",,,静止的蜂蜜,,64
12,动态蜂蜜,Honey,,"1",,,可流动的蜂蜜,,64
13,静态流沙,StaticQuicksand,,"1",,,细沙构成的“河流”，危险！,,64
14,动态流沙,Quicksand,,"1",,,细沙构成的“河流”，危险！,,64
15,咒岩,CurseStone,,"1",,100018,散发着诡异气息的岩石，触碰#c0aba1d流沙#n后会怎样？挖掘时会获得流血诅咒！,沙漠绿洲地下遗迹的外墙,64
16,咒岩-激活,CurseStoneActivated,,"0",,100018,散发着诡异气息的岩石，触碰#c0aba1d流沙#n后会怎样？挖掘时会获得流血诅咒！,沙漠绿洲地下遗迹的外墙,64
17,静态剧毒,StaticHighlyVenom,,"0",,,散发着危险气息的液体，尽量远离,,64
18,动态剧毒,HighlyVenom,,"0",,,散发着危险气息的液体，尽量远离,,64
19,风蚀岩,WindErosionStone,,"1",,,强风侵蚀后的沙漠岩石，有些脆弱,,64
20,外星空气,,,"0",,,快去下载最新的游戏版本吧！,,64
21,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
